ID,Fecha,Informacion,Conductividad (μS/cm),Temperatura (°C),pH,x,y,Elevacion,Profundidad,Latitud,Longitud,2H,18O,comment,d-excess,Nombre,Tipo_Fuente,Localizacion_geologia,Tipo,Fuente,Mes,Temporada,P (mm),Año,UnidadGeologicaProf,UnidadGeoProf,NIDOS
N25,06/30/2023,,,,,1039556.1,1377742.7,33,,7.298,-73.885,-53.49,-7.67,,7.87,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,6,Humeda,156,2023,,,Norte
,04/30/2005,,,,,1112405.21,1279835.16,1803,,7.355,-73.885,-52.64,-8.34,La Galvicia,14.08,La Galvicia,Lluvia,Sur,Lluvia,GNIP,4,,,2005,NPb,,
K85,10/01/2022,,,,,,,402,,7.332,-73.884,-52.11,-7.85,,10.69,Predio No hay como la mano de Dios,Lluvia,Sur,Lluvia,Kale_lluvia,10,Humeda,,2022,,,
K63,08/01/2022,,,,,,,996,,7.322,-73.884,-51.9,-8.13,,13.14,Estación de la UIS,Lluvia,Sur,Lluvia,Kale_lluvia,8,Humeda,,2022,,,
K97,12/01/2022,,,,,,,1921,,7.299818182,-73.8828481,-50.98,-6.38,,0.06,Escuela Agrícola Cachira,Lluvia,Sur,Lluvia,Kale_lluvia,12,Seca,,2022,,,
K31,04/01/2022,,,,,,,78,,7.426091367,-73.8817694,-43,-6.64,,10.12,Predio La Belleza,Lluvia,Sur,Lluvia,Kale_lluvia,4,Humeda,,2022,,,Sur
K61,08/01/2022,,,,,,,1921,,7.324,-73.881,-50.17,-7.91,,13.11,Escuela Agrícola Cachira,Lluvia,Sur,Lluvia,Kale_lluvia,8,Humeda,,2022,,,
K70,09/01/2022,,,,,,,1921,,7.41,-73.88,-49.81,-7.93,,13.63,Escuela Agrícola Cachira,Lluvia,Sur,Lluvia,Kale_lluvia,9,Humeda,,2022,,,
,11/05/2020,,8,,7.36,1052374,1410779,165,0,7.388,-73.879,-49.63,-7.7,M-Aguachica,11.97,Lluvia Aguachica,Lluvia,Norte,Lluvia,Campo,11,Humeda,,2020,Q,Q,
,11/30/2004,,,,,1105219.55,1281939.8,996,,7.349,-73.878,-49.37,-7.5,IDEAM Bucaramanga,10.63,IDEAM Bucaramanga,Lluvia,Sur,Lluvia,GNIP,11,,,2004,Qtf,Q,
K62,08/01/2022,,,,,,,738,,7.627410821,-73.87615988,-48.4,-7.62,,12.56,Estación Llano Grande,Lluvia,Sur,Lluvia,Kale_lluvia,8,Humeda,,2022,,,
,08/15/2005,,,,,,,996,,7.305,-73.876,-47.37,-6.8,Apto Bucaramanga,7.03,Apto Bucaramanga,Lluvia,Sur,Lluvia,GNIP,8,,,2005,J3g,J,
,05/31/2006,,,,,1112405.21,1279835.16,1803,,7.547604756,-73.8742851,-46.85,-7.47,La Galvicia,12.91,La Galvicia,Lluvia,Sur,Lluvia,GNIP,5,,,2006,NPb,,
,07/31/2005,,,,,1112405.21,1279835.16,1803,,7.207,-73.871,-45.75,-6.98,La Galvicia,10.09,La Galvicia,Lluvia,Sur,Lluvia,GNIP,7,,,2005,NPb,,
224,03/19/2021,,10.5,,7.6,1075258,1350339,118,0,7.36,-73.869,-43.5229,-7.0229,Agua lluvia- San Alberto Plaza,12.6603,Lluvia San Alberto,Lluvia,Norte,Lluvia,Campo,3,Seca,,2021,Q,Q,
,07/31/2005,,,,,1105219.55,1281939.8,996,,7.369,-73.869,-43.49,-6.2,IDEAM Bucaramanga,6.11,IDEAM Bucaramanga,Lluvia,Sur,Lluvia,GNIP,7,,,2005,Qtf,Q,
,08/31/2005,,,,,1105219.55,1281939.8,996,,7.359535271,-73.86860233,-43.02,-6.58,IDEAM Bucaramanga,9.62,IDEAM Bucaramanga,Lluvia,Sur,Lluvia,GNIP,8,,,2005,Qtf,Q,
K23,03/01/2022,,,,,,,78,,7.362,-73.864,-21.68,-3.93,,9.76,Predio La Belleza,Lluvia,Sur,Lluvia,Kale_lluvia,3,Humeda,,2022,,,Sur
M21219,12/19/2023,,,,,,,56,,7.679568399,-73.86395359,-42.09,-6.24,,7.83,TOTALIZADOR 6,Lluvia,Sur,Lluvia,ANH-SGI,1,Seca,,2024,,,
M19977,11/16/2023,,,,,,,1522,,7.267,-73.863,-100.89,-14.18,,12.55,TOTALIZADOR 2,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,Sur
,09/15/2005,,,,,,,996,,7.405,-73.863,-40.78,-6.36,Apto Bucaramanga,10.1,Apto Bucaramanga,Lluvia,Sur,Lluvia,GNIP,9,,,2005,J3g,J,
S26,03/19/2021,,,,,1019830,1304488,30,0,7.407,-73.862,-45.4638,-6.8917,Agua Lluvia PW- Tipo: Lluvia,9.6698,Lluvia Puerto Wilches,Lluvia,Sur,Lluvia,Campo,3,Seca,,2021,Q,Q,Sur
,09/30/2005,,,,,1112405.21,1279835.16,1803,,7.387,-73.861,-36.62,-6.22,La Galvicia,13.14,La Galvicia,Lluvia,Sur,Lluvia,GNIP,9,,,2005,NPb,,
N11,09/30/2023,,,,,1039556.1,1377742.7,33,,7.354,-73.861,-35.9,-5.78,,10.34,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,9,Seca,66,2023,,,Norte
,09/30/2005,,,,,1105219.55,1281939.8,996,,7.327,-73.855,-34.91,-5.97,IDEAM Bucaramanga,12.85,IDEAM Bucaramanga,Lluvia,Sur,Lluvia,GNIP,9,,,2005,Qtf,Q,
K22,03/01/2022,,,,,,,1432,,7.343,-73.855,-32.29,-5.56,,12.19,Estación Oiba,Lluvia,Sur,Lluvia,Kale_lluvia,3,Humeda,,2022,,,
,07/15/2005,,,,,,,996,,7.350008277,-73.85323159,-31.93,-5.25,Apto Bucaramanga,10.07,Apto Bucaramanga,Lluvia,Sur,Lluvia,GNIP,7,,,2005,J3g,J,
K19,03/01/2022,,,,,,,738,,7.360061245,-73.85306895,-28.87,-5.1,,11.93,Estación Llano Grande,Lluvia,Sur,Lluvia,Kale_lluvia,3,Humeda,,2022,,,
S11,03/25/2021,,,,,1064543,1310003,126,0,7.36,-73.853,-37.6543,-6.3496,C-SABANA LLUVIA,13.1425,Lluvia Sabana de Torres,Lluvia,Sur,Lluvia,Campo,3,Seca,,2021,N1r (U4),N1r ,Sur
N8,08/31/2023,,,,,1039556.1,1377742.7,33,,7.36,-73.853,-25.35,-3.98,,6.49,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,8,Seca,79,2023,,,Norte
K20,03/01/2022,,,,,,,996,,7.36,-73.853,-25.14,-4.78,,13.1,Estación de la UIS,Lluvia,Sur,Lluvia,Kale_lluvia,3,Humeda,,2022,,,
K29,04/01/2022,,,,,,,1038,,7.36,-73.853,-25.14,-4.78,,13.1,Estación Los Canelos,Lluvia,Sur,Lluvia,Kale_lluvia,4,Humeda,,2022,,,
N9,02/29/2024,,,,,1039556.1,1377742.7,33,,7.36,-73.853,-24.35,-4.24,,9.57,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,2,Seca,0,2024,,,Norte
K25,03/01/2022,,,,,,,344,,7.36,-73.853,-23.13,-4.45,,12.47,Predio La Joya,Lluvia,Sur,Lluvia,Kale_lluvia,3,Humeda,,2022,,,
K24,03/01/2022,,,,,,,402,,7.36,-73.853,-22.55,-4.21,,11.13,Predio No hay como la mano de Dios,Lluvia,Sur,Lluvia,Kale_lluvia,3,Humeda,,2022,,,
,01/31/2007,,,,,1112405.21,1279835.16,1803,,7.36,-73.853,-20.88,-4.19,La Galvicia,12.64,La Galvicia,Lluvia,Sur,Lluvia,GNIP,1,,,2007,NPb,,
K13,02/01/2022,,,,,,,1432,,7.36,-73.853,-19.8,-3.04,,4.52,Estación Oiba,Lluvia,Sur,Lluvia,Kale_lluvia,2,Seca,,2022,,,
K16,02/01/2022,,,,,,,344,,7.36,-73.853,-19.8,-3.81,,10.68,Predio La Joya,Lluvia,Sur,Lluvia,Kale_lluvia,2,Seca,,2022,,,
,02/28/2005,,,,,1105219.55,1281939.8,996,,7.36,-73.853,-19.41,-4.72,IDEAM Bucaramanga,18.35,IDEAM Bucaramanga,Lluvia,Sur,Lluvia,GNIP,2,,,2005,Qtf,Q,
,12/31/2004,,,,,1112405.21,1279835.16,1803,,7.06565521,-73.85059805,-19.13,-3.94,La Galvicia,12.39,La Galvicia,Lluvia,Sur,Lluvia,GNIP,12,,,2004,NPb,,
K9,02/01/2022,,,,,,,1921,,7.231,-73.85,-18.32,-3.97,,13.44,Escuela Agrícola Cachira,Lluvia,Sur,Lluvia,Kale_lluvia,2,Seca,,2022,,,
K14,02/01/2022,,,,,,,78,,7.168410626,-73.84957886,-4.29,-1.8,,10.11,Predio La Belleza,Lluvia,Sur,Lluvia,Kale_lluvia,2,Seca,,2022,,,Sur
K103,12/01/2022,,,,,,,402,,7.168410626,-73.84957886,-17.97,-3.99,,13.95,Predio No hay como la mano de Dios,Lluvia,Sur,Lluvia,Kale_lluvia,12,Seca,,2022,,,
K18,03/01/2022,,,,,,,1921,,7.271,-73.849,-17.43,-3.75,,12.57,Escuela Agrícola Cachira,Lluvia,Sur,Lluvia,Kale_lluvia,3,Humeda,,2022,,,
,01/31/2005,,,,,1112405.21,1279835.16,1803,,7.246,-73.848,-16.43,-4,La Galvicia,15.57,La Galvicia,Lluvia,Sur,Lluvia,GNIP,1,,,2005,NPb,,
N7,08/31/2024,,,,,1039556.1,1377742.7,33,,7.238,-73.848,-16.31,-3.73,,13.53,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,8,Humeda,576,2024,,,Norte
K8,01/01/2022,,,,,,,78,,7.372,-73.848,4.9,-1.09,,13.62,Predio La Belleza,Lluvia,Sur,Lluvia,Kale_lluvia,1,Seca,,2022,,,Sur
,03/31/2006,,,,,1112405.21,1279835.16,1803,,7.228,-73.844,-15.63,-3.43,La Galvicia,11.81,La Galvicia,Lluvia,Sur,Lluvia,GNIP,3,,,2006,NPb,,
K48,06/01/2022,,,,,,,78,,7.22752553,-73.84366389,-93.52,-13.1,,11.28,Predio La Belleza,Lluvia,Sur,Lluvia,Kale_lluvia,6,Humeda,,2022,,,Sur
,04/30/2006,,,,,1112405.21,1279835.16,1803,,7.22752553,-73.84366389,-15.11,-3.54,La Galvicia,13.21,La Galvicia,Lluvia,Sur,Lluvia,GNIP,4,,,2006,NPb,,
,01/15/2005,,,,,,,996,,7.332250591,-73.84122775,-14.87,-3.24,Apto Bucaramanga,11.05,Apto Bucaramanga,Lluvia,Sur,Lluvia,GNIP,1,,,2005,J3g,J,
,12/31/2004,,,,,1105219.55,1281939.8,996,,7.327,-73.841,-13.67,-3.46,IDEAM Bucaramanga,14.01,IDEAM Bucaramanga,Lluvia,Sur,Lluvia,GNIP,12,,,2004,Qtf,Q,
K39,05/01/2022,,,,,,,78,,7.37,-73.841,-89.84,-11.21,,-0.16,Predio La Belleza,Lluvia,Sur,Lluvia,Kale_lluvia,5,Humeda,,2022,,,Sur
N3,09/30/2024,,,,,1039556.1,1377742.7,33,,7.332,-73.841,-13.24,-2.48,,6.6,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,9,Seca,305,2024,,,Norte
N4,03/31/2023,,,,,1039556.1,1377742.7,33,,7.327322368,-73.84074129,-12.86,-2.49,,7.06,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,3,Seca,90,2023,,,Norte
