ID,Codigo,Nombre,Zona,Mes,Ano,Elevacion,Latitud,Longitud,Tipo,Clase,Informacion,Comentarios,CE,Temperatura,pH,OD_mg/L,2H,18O,Fecha
G-21,M3,Quebrada El Perro ,TORCA,Sep,2023,2554.83,4.7832,-74.0395,Quebrada ,Superficial,Quebrada El Perro ,,176,22.6,7.4,,-40.12,-5.67,8/30/2023
G-22,M4,Quebrada A C,TORCA,Sep,2023,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,130,19,7.9,,,,9/30/2023
G-23,M5,Sector 5-Guaymaral ,TORCA,Sep,2023,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,480,20,7.96,,-51.6,-6.59,9/30/2023
G-24,M6,Sector 6-Guaymaral ,TORCA,Sep,2023,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,430,20,7.5,,-50.31,-6.28,9/30/2023
G-25,M7,Zona hiporreica ,TORCA,Sep,2023,,,,Hiporreica,Hiporreica,Hiporreica,,,,,,-53.88,-6.62,9/30/2023
G-26,PZ-01,Bavaria ,TORCA,Sep,2023,2562.02,4.8076,-74.0327,Pozo,Subterranea,,nivel 30 cm,33,16.8,6.06,,-66.21,-9.8,9/30/2023
G-27,PZ-2,Tennis Club ,TORCA,Sep,2023,,,,Pozo ,Subterranea,,nivel 27,,,,,,,
G-28,M-1,Salida Humedal Patiño ,TORCA,Sep,2023,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,,274,23.2,7,,-51.54,-7.76,10/31/2023
G-29,M-2,Totalizador ,TORCA,Sep,2023,2548.53,4.7868,-74.0392,Lluvia,Lluvia,Totalizador Torca ,volumen 420 ml ,,,,,-30.03,-5.13,10/31/2023
G-30,M-3,Q. Aguas Calientes ,TORCA,Sep,2023,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,252,22.1,7.8,,-62.04,-9.36,10/31/2023
G-31,M-4,Q. El Perro ,TORCA,Sep,2023,2554.83,4.7832,-74.0395,Quebrada ,Superficial,Quebrada El Perro ,,271,22.1,7.3,,-43.61,-7.45,10/31/2023
G-32,M-5,Sector 6-Guaymaral ,TORCA,Sep,2023,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,444,23.5,8.1,,-48.12,-6.46,10/31/2023
G-33,M-6,Fundación Guaymaral ,TORCA,Sep,2023,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,446,24.2,9.4,,-46.97,-5.62,10/31/2023
G-34,Punto 1 ,Salida Humedal Patiño ,TORCA,Oct,2023,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,,210,20,7,,-74.15,-10.75,11/30/2023
G-35,Punto 2 ,Totalizador ,TORCA,Oct,2023,2548.53,4.7868,-74.0392,Lluvia,Lluvia,Totalizador Torca ,volumen 560,,,,,-34.38,-6.08,11/30/2023
G-36,Punto 3,Q. Aguas Calientes ,TORCA,Oct,2023,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,167,21.2,7.9,,-64,-9.41,11/30/2023
G-37,Punto 4,Q. El Perro ,TORCA,Oct,2023,2554.83,4.7832,-74.0395,Quebrada ,Superficial,Quebrada El Perro ,,296,23.8,7.2,,-57.84,-8.36,11/30/2023
G-38,Punto 5,Sector 6-Guaymaral ,TORCA,Oct,2023,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,494,23.6,8,,-45.38,-5.7,11/30/2023
G-39,Punto 6,Fundación Guaymaral ,TORCA,Oct,2023,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,488,21.7,7.7,,-46.43,-6.13,11/30/2023
G-40,M1 ,Salida Humedal Patiño ,TORCA,Nov,2023,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,,190,19.5,7.08,,-55.67,-7.69,12/29/2023
G-41,M2,Totalizador ,TORCA,Nov,2023,2548.53,4.7868,-74.0392,Lluvia,Lluvia,Totalizador Torca ,,,,,,-81.37,-11.93,12/29/2023
G-42,M3 ,Q. Aguas Calientes ,TORCA,Nov,2023,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,170,20,7.58,,-61.56,-9.28,12/29/2023
G-43,M4,Q. El Perro ,TORCA,Nov,2023,2554.83,4.7832,-74.0395,Quebrada ,Superficial,Quebrada El Perro ,,510,23.5,7.1,,-43.7,-5.01,12/29/2023
G-44,M5,Sector 6-Guaymaral ,TORCA,Nov,2023,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,430,21.9,7.7,,-49.14,-6.11,12/29/2023
G-45,M6,Fundación Guaymaral ,TORCA,Nov,2023,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,410,22.7,8.75,,-49.83,-6.05,1/30/2024
G-46,PR 1 ,Sotano Ed Uriel Gutierrez ,CAMPUS,Oct,2023,,999,,,,,,,,,,,,
G-47,PR 2 ,Obra Uriel Gutierrez ,CAMPUS,Oct,2023,,999,,,,,,,,,,,,
G-48,PR 3 ,Camilo Torres ,CAMPUS,Oct,2023,,998,,,,,,,,,,,,
G-49,M1 ,Salida Humedal Patiño ,TORCA,Dic,2023,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,,250,19.4,7.15,,-58.8,-8.62,1/30/2024
G-50,M3,Q. Aguas Calientes ,TORCA,Dic,2023,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,150,16.8,7.97,,-60.05,-8.76,2/29/2024
G-51,M4,Q. El Perro ,TORCA,Dic,2023,2554.83,4.7832,-74.0395,Quebrada ,Superficial,Quebrada El Perro ,,360,22.5,8.11,,-55.59,-7.37,2/29/2024
G-52,M5,Sector 6-Guaymaral ,TORCA,Dic,2023,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,440,21.9,7.69,,-45.73,-5.91,2/29/2024
G-53,M6,Fundación Guaymaral ,TORCA,Dic,2023,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,430,21.7,7.26,,-43.93,-5.36,2/29/2024
G-54,P1 ,Salida Humedal Patiño ,TORCA,Ene,2024,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,,160,16.4,6.92,,-62.56,-9.34,2/29/2024
G-55,P2,Totalizador ,TORCA,Ene,2024,2548.53,4.7868,-74.0392,Lluvia,Lluvia,Totalizador Torca ,volumen 180 ml ,26,22.7,7.27,,-63.54,-9.4,1/30/2024
G-56,P3,Q. Aguas Calientes ,TORCA,Ene,2024,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,150,17.5,6.45,,-58.66,-8.97,1/30/2024
G-57,P4 ,Sector 6-Guaymaral ,TORCA,Ene,2024,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,470,25.5,8.2,,-54.21,-8.15,1/30/2024
G-58,P5,Fundación Guaymaral ,TORCA,Ene,2024,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,460,23.6,7.2,,-60.45,-9.41,2/29/2024
G-59,P1,Salida Humedal Patiño ,TORCA,Feb,2024,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,,330,26.3,7.63,,-36.96,-4.11,2/29/2024
G-60,P2,Totalizador ,TORCA,Feb,2024,2548.53,4.7868,-74.0392,Lluvia,Lluvia,Totalizador Torca ,volumen 610,30,20,7.1,,-44.45,-6.99,2/29/2024
G-61,P3,Q. Aguas Calientes ,TORCA,Feb,2024,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,170,20.2,7.1,,-62.19,-9.02,2/29/2024
G-62,P5,Sector 6-Guaymaral ,TORCA,Feb,2024,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,540,24.1,8.18,,-37.48,-3.07,2/29/2024
